fragment,author_label,year,day,author_name
"def walk(grid, start, target=9):
    """"""Walk the grid and count how many paths that can be walked to reach targets.""""""
    layer = {start: 1}
    for height in range(1, target + 1):
        new_layer = collections.defaultdict(int)
        for pos, num_paths in layer.items():
            for dir in [(0, 1), (1, 0), (0, -1), (-1, 0)]:
                new_pos = (pos[0] + dir[0], pos[1] + dir[1])
                if grid.get(new_pos) == height:
                    new_layer[new_pos] += num_paths
        layer, new_layer = new_layer, collections.defaultdict(int)

    return layer",,2024,10,
"class Dec01(Day, year=2024, day=1, title='Historian Hysteria'):

    @classmethod
    def parse_instructions(cls, instructions):
        lines = cls.parse_multiple_ints_per_line(instructions, separator=r'\s+')
        return [line[0] for line in lines], [line[1] for line in lines]

    @timer(part=1)
    def part_1(self):
        sorted_left = sorted(self.instructions[0])
        sorted_right = sorted(self.instructions[1])
        return sum(abs(x - y) for x, y in zip(sorted_left, sorted_right))

    @timer(part=2)
    def part_2(self):
        left = self.instructions[0]
        right = Counter(self.instructions[1])
        return sum(item * right[item] for item in left)",author_8,2024,1,prositen
"class ReportChecker(object):

    def __init__(self, values: List[int]):
        self.values = values
        self.deltas = [x - y for x, y in zip(values, values[1:])]

    def all_increasing(self):
        return all(d < 0 for d in self.deltas)

    def all_decreasing(self):
        return all(d > 0 for d in self.deltas)

    def gradual_slope(self):
        slopes = [abs(v) for v in self.deltas]
        return max(slopes) < 4 and min(slopes) > 0",author_8,2024,2,
"class Dec03(Day, year=2024, day=3, title='Mull it over'):
    mul_pattern = re.compile(r""mul\((\d{1,3}),(\d{1,3})\)"")

    @staticmethod
    def parse_instructions(instructions):
        return ''.join(instructions)

    @timer(part=1)
    def part_1(self):
        return sum(int(m[0]) * int(m[1]) for m in self.mul_pattern.findall(self.instructions))",author_8,2024,3,
"class WordSearch(object):

    def __init__(self, data):
        self.rows = data

    def count(self):
        """"""
        String search in all rows, columns, diagonals and backwards diagonals
        :return: Number of words found
        """"""
        word = 'XMAS'

        rows = str(self.rows)
        h_count = (rows.count(word) + rows.count(word[::-1]))

        columns = list(zip(*self.rows))
        columns = str([''.join(chars) for chars in columns])
        v_count = (columns.count(word) + columns.count(word[::-1]))

        diag = defaultdict(list)
        bdiag = defaultdict(list)
        for y, line in enumerate(self.rows):
            for x, char in enumerate(line):
                diag[x + y].append(char)
                bdiag[x - y].append(char)",author_8,2024,4,
" @staticmethod
    def parse_instructions(instructions):
        groups = Day.parse_groups(instructions)
        rules = defaultdict(set)
        for rule in Day.parse_multiple_ints_per_line(groups[0], separator=r'\|'):
            rules[rule[1]].add(rule[0])
        pages = Day.parse_multiple_ints_per_line(groups[1], separator=',')
        return rules, pages

    def page_order_is_valid(self, pages):
        index = tuple(pages)
        if index not in self.cache:
            self.cache[index] = not any([
                set(pages[i + 1:]) & self.rules[page]
                for i, page in enumerate(pages)
            ])
        return self.cache[index]",author_8,2024,5,
"class Facing(StrEnum):
    North = 'north'
    East = 'east'
    South = 'south'
    West = 'west'

    def turn_right(self):
        match self.value:
            case Facing.North:
                return Facing.East
            case Facing.East:
                return Facing.South
            case Facing.South:
                return Facing.West
            case Facing.West:
                return Facing.North
",author_8,2024,6,
" def get_value(self):
        todo = deque([(self.operands[0], 1)])
        _len = len(self.operands) - 1
        while todo:
            result, index = todo.popleft()

            for op in self.operators:
                r_op = op(result, self.operands[index])
                if index == _len:
                    if r_op == self.result:
                        return self.result
                elif r_op > self.result:
                    continue
                elif index < _len:
                    todo.append((r_op, index + 1))
        return 0",author_8,2024,7,
"def count_anti_nodes(self):
        for antenna, positions in self.antennas.items():
            for p1, p2 in itertools.combinations(positions, 2):
                if self.resonant_harmonics:
                    self.anti_nodes.update({p1, p2})

                dy, dx = p1[0] - p2[0], p1[1] - p2[1]
                for point in self.get_points(p1, dy, dx):
                    self.anti_nodes.add(point)
                for point in self.get_points(p2, -dy, -dx):
                    self.anti_nodes.add(point)

        return len(self.anti_nodes)",author_8,2024,8,
"def deallocate(self, pos, size):
        self.blocks[pos:pos + size] = (-1,) * size
        spaces = list()
        left, right = None, None
        while self.free_space:
            free = self.free_space.pop()
            right, left = left, free
            spaces.append(free)
            if free[0] < pos:
                break

        if left and left[0] < pos:
            if left[0] + left[1] == pos:
                pos = left[0]
                size += left[1]
            else:
                self.free_space.append(left)
        if right and (right[0] == pos + size):
            size += right[1]
            spaces = spaces[1:]
        self.free_space.append((pos, size))
        self.free_space.extend(spaces[1:])",author_8,2024,9,
"def walk(self, can_revisit=False):
        positions = deque()
        seen_count = 0
        visited = set()
        for pos in self.trailheads:
            positions.append((pos, pos))
        while positions:
            th, pos = positions.popleft()
            if can_revisit or (th, pos) not in visited:
                visited.add((th, pos))
                if (height := self.at(pos)) == 9:
                    seen_count += 1
                    continue
                for nb in self.neighbours(pos):
                    if self.at(nb) == height + 1:
                        positions.append((th, nb))
        return seen_count",author_8,2024,10,
"from collections import Counter

input_file = ""input""

left, right = map(sorted, zip(*list(map(int, line.split()) for line in open(input_file))))
left_2, right_2 = Counter(left), Counter(right)

print(sum(abs(r - l) for l, r in zip(left, right)))
print(sum(occ * k * right_2[k] for k, occ in left_2.items()))",author_9,2024,1,TurtleSmoke
"def is_safe(nums):
    delta = [a - b for a, b in zip(nums, nums[1:])]
    return all(1 <= abs(d) <= 3 for d in delta) and all(d * delta[0] > 0 for d in delta)


def is_safe_with_dampener(nums):
    if is_safe(nums):
        return True
    return any(is_safe(nums[:i] + nums[i + 1 :]) for i in range(len(nums)))


print(sum(map(is_safe, reports)))
print(sum(map(is_safe_with_dampener, reports)))",author_9,2024,2,
"import re

input_file = ""input""

get_numbers = lambda data: re.findall(r""mul\((\d{1,3}),(\d{1,3})\)"", data)
res1 = get_numbers(open(input_file).read())
res2 = get_numbers(
    """".join(re.findall(r""do\(\)(?:(?!don't\(\)).)*"", ""do()"" + open(input_file).read() + ""don't()"", re.DOTALL))
)

print(sum(int(x) * int(y) for x, y in res1))
print(sum(int(x) * int(y) for x, y in res2))",author_9,2024,3,
"data = defaultdict(
    str,
    {x + 1j * y: c for y, r in enumerate(open(input_file)) for x, c in enumerate(r.strip())},
)

res1 = 0
res2 = 0

for c in data.copy():
    for d in [1, 1j, 1 + 1j, 1 - 1j, -1, -1j, -1 + 1j, -1 - 1j]:
        res1 += data[c] + data[c + d] + data[c + d * 2] + data[c + d * 3] == ""XMAS""
        if d.imag and d.real:
            res2 += data[c + d] + data[c] + data[c - d] == ""MAS"" and data[c + d * 1j] + data[c - d * 1j] == ""MS""

print(res1)
print(res2)",author_9,2024,4,
"graph = defaultdict(set)
for src, dst in rules:
    graph[src].add(dst)

res2 = 0
for update in updates:
    if incorrect_update(update):
        rule = set(update)
        valid_update = {page: graph[page] & rule for page in update}
        valid_update = sorted(valid_update, key=lambda j: len(valid_update[j]), reverse=True)
        res2 += int(valid_update[len(valid_update) // 2])

print(res1)
print(res2)",author_9,2024,5,
"def walk(graph, start, part2):
    pos = start
    dir = -1
    visited = set()
    while pos + dir in graph and (pos, dir) not in visited:
        visited.add((pos, dir))
        while graph[pos + dir] == ""#"":
            dir *= -1j
        pos += dir

    if part2:
        return (pos, dir) in visited
    else:
        visited.add((pos, dir))
        return {pos for pos, _ in visited}",author_9,2024,6,
"def dfs(numbers, part2):
    if len(numbers) == 1:
        yield numbers[0]
        return

    for res in dfs(numbers[:-1], part2):
        yield numbers[-1] * res
        yield numbers[-1] + res
        if part2:
            yield int(str(res) + str(numbers[-1]))


res1 = sum(numbers[0] for numbers in data if any(numbers[0] == res for res in dfs(numbers[1:], False)))
res2 = sum(numbers[0] for numbers in data if any(numbers[0] == res for res in dfs(numbers[1:], True)))

print(res1)
print(res2)",author_9,2024,7,
"import itertools

input_file = ""input""

data = {x + 1j * y: c for y, row in enumerate(open(input_file)) for x, c in enumerate(row.strip())}

antennas_pos = [
    [pos for pos in data.keys() if data[pos] == antenna_type] for antenna_type in set(data.values()) - set(""."")
]

res = lambda echos: len(
    set(
        x + d * (x - y)
        for d in echos
        for antenna_pos in antennas_pos
        for x, y in list(itertools.permutations(antenna_pos, 2))
        if x + d * (x - y) in data
    )
)",author_9,2024,8,
"def solve1(states):
    used_idx, free_idx = len(states) - 1, 0
    while used_idx > free_idx:
        used, used_occ = states[used_idx]
        free, free_occ = states[free_idx]
        if not used:
            used_idx -= 1
            continue
        if free or free_occ == 0:
            free_idx += 1
            continue

        states[used_idx] = (used, max(0, used_occ - free_occ))
        states[free_idx] = (0, max(0, free_occ - used_occ))
        states.insert(free_idx, (used, min(free_occ, used_occ)))
        free_idx += 1
        used_idx += 1
        if not states[used_idx][1]:
            used_idx -= 1

    return states",author_9,2024,9,
"input_file = ""input""

data = {y + x * 1j: int(v) for x, row in enumerate(open(input_file)) for y, v in enumerate(row.strip())}

starts = [[pos] for pos in data if data[pos] == 0]
for hike in range(1, 10):
    starts = [[p + d for p in poses for d in [1, -1, 1j, -1j] if data.get(p + d) == hike] for poses in starts]

print(sum(map(len, map(set, starts))))
print(len(list(x for y in starts for x in y)))",author_9,2024,10,
"a = list(map(list, zip(*[list(map(int, line.split())) for line in open(0).read().splitlines()])))

for k in a: k.sort()

print(sum(abs(x - y) for x, y in zip(*a)))",author_10,2024,1,hyperneutrino
"count = 0

def safe(levels):
    diffs = [x - y for x, y in zip(levels, levels[1:])]
    return all(1 <= x <= 3 for x in diffs) or all(-1 >= x >= -3 for x in diffs)

for report in open(0):
    levels = list(map(int, report.split()))
    if safe(levels):
        count += 1

print(count)",author_10,2024,2,
"import re

memory = open(0).read()

total = 0

for match in re.findall(r""mul\(\d{1,3},\d{1,3}\)"", memory):
    x, y = map(int, match[4:-1].split("",""))
    total += x * y

print(total)",author_10,2024,3,
"grid = open(0).read().splitlines()

count = 0

for r in range(len(grid)):
    for c in range(len(grid[0])):
        if grid[r][c] != ""X"": continue
        for dr in [-1, 0, 1]:
            for dc in [-1, 0, 1]:
                if dr == dc == 0: continue
                if not (0 <= r + 3 * dr < len(grid) and 0 <= c + 3 * dc < len(grid[0])): continue
                if grid[r + dr][c + dc] == ""M"" and grid[r + 2 * dr][c + 2 * dc] == ""A"" and grid[r + 3 * dr][c + 3 * dc] == ""S"":
                    count += 1

print(count)",author_10,2024,4,
"for line in file:
    if line.isspace(): break
    rules.append(list(map(int, line.split(""|""))))

cache = {}

for x, y in rules:
    cache[(x, y)] = True
    cache[(y, x)] = False

def is_ordered(update):
    for i in range(len(update)):
        for j in range(i + 1, len(update)):
            key = (update[i], update[j])
            if key in cache and not cache[key]:
                return False
    return True

total = 0",author_10,2024,5,
"for r in range(rows):
    for c in range(cols):
        if grid[r][c] == ""^"":
            break
    else:
        continue
    break

dr = -1
dc = 0",author_10,2024,6,
"def can_obtain(target, array):
    if len(array) == 1: return target == array[0]
    if target % array[-1] == 0 and can_obtain(target // array[-1], array[:-1]): return True
    if target > array[-1] and can_obtain(target - array[-1], array[:-1]): return True
    return False",author_10,2024,7,
"for array in antennas.values():
    for i in range(len(array)):
        for j in range(i + 1, len(array)):
            r1, c1 = array[i]
            r2, c2 = array[j]
            antinodes.add((2 * r1 - r2, 2 * c1 - c2))
            antinodes.add((2 * r2 - r1, 2 * c2 - c1))",author_10,2024,8,
"for i, char in enumerate(input()):
    x = int(char)
    if i % 2 == 0:
        disk += [fid] * x
        fid += 1
    else:
        disk += [-1] * x

blanks = [i for i, x in enumerate(disk) if x == -1]",author_10,2024,9,
"def score(grid, r, c):
    q = deque([(r, c)])
    seen = {(r, c)}
    summits = 0
    while len(q) > 0:
        cr, cc = q.popleft()
        for nr, nc in [(cr - 1, cc), (cr, cc + 1), (cr + 1, cc), (cr, cc - 1)]:
            if nr < 0 or nc < 0 or nr >= rows or nc >= cols: continue
            if grid[nr][nc] != grid[cr][cc] + 1: continue
            if (nr, nc) in seen: continue
            seen.add((nr, nc))
            if grid[nr][nc] == 9:
                summits += 1
            else:
                q.append((nr, nc))
    return summits",author_10,2024,10,
"def solve(input_data: str) -> str:
    leftColList = []
    rightColList = []

    for line in input_data.splitlines():
        splittedLine = line.split(""   "")
        leftColList.append(int(splittedLine[0]))
        rightColList.append(int(splittedLine[1]))
    
    leftColList.sort()
    rightColList.sort()

    diffSum = 0
    for i in range(len(leftColList)):
        diffSum = diffSum + abs(leftColList[i]- rightColList[i])
    
    return diffSum",author_11,2024,1,itsvncl
"def is_safe(number_str_array):
    prev_num = int(number_str_array[0])
    is_descending = prev_num > int(number_str_array[1])
        
    if is_descending:
        for number_str in number_str_array[1:]:
            curr_num = int(number_str)
            if not 0 < prev_num - curr_num <= 3:
                return False
            prev_num = curr_num
    else:
        for number_str in number_str_array[1:]:
            curr_num = int(number_str)
            if not -3 <= prev_num - curr_num < 0:
                return False
            prev_num = curr_num
        
    return True",author_11,2024,2,
"from utils import load_input, time_solution, InputType
import re

def solve(input_data: str) -> str:
    return sum(map(lambda op : int(op[0]) * int(op[1]), re.findall(r'mul\((\d+),(\d+)\)', input_data)))

if __name__ == ""__main__"":
    input_data = load_input(3, InputType.MAIN)
    result = time_solution(solve, input_data)
    print(f""Result: {result}"")",author_11,2024,3,
"def find_words_in_grid(grid: List[str], word: str) -> int:
    word_count = 0
    for i in range(len(grid)):
        for j in range(len(grid[i])):
            if grid[i][j] == word[0]:
                word_count += is_word_in_direction(grid, i + 1, j, 1, 0, word, 1)
                word_count += is_word_in_direction(grid, i - 1, j, -1, 0, word, 1)
                word_count += is_word_in_direction(grid, i, j - 1, 0, -1, word, 1)
                word_count += is_word_in_direction(grid, i, j + 1, 0, 1, word, 1)
                word_count += is_word_in_direction(grid, i + 1, j + 1, 1, 1, word, 1)
                word_count += is_word_in_direction(grid, i - 1, j - 1, -1, -1, word, 1)
                word_count += is_word_in_direction(grid, i - 1, j + 1, -1, 1, word, 1)
                word_count += is_word_in_direction(grid, i + 1, j - 1, 1, -1, word, 1)
    return word_count",author_11,2024,4,
"from utils import load_input, time_solution, InputType

def solve(input_data: str) -> str:    
    return """"
             
if __name__ == ""__main__"":
    input_data = load_input(5, InputType.MAIN)
    result = time_solution(solve, input_data)
    print(f""Result: {result}"")",author_11,2024,5,
"def simulate_guard(lab_map, start_pos,  direction = [-1 , 0], obstacle = '#', step_marker = 'X') -> int:
    bound_i, bound_j = len(lab_map), len(lab_map[0]) 
    loc_i, loc_j = start_pos
    unique_pos_count = 0

    while 0 <= loc_i < bound_i and 0 <= loc_j < bound_j:
        lab_field = lab_map[loc_i][loc_j]
        if lab_field != step_marker:
            unique_pos_count += 1
            lab_map[loc_i][loc_j] = step_marker

        while look_ahead(lab_map, [loc_i + direction[0], loc_j + direction[1]]) == obstacle:
            rotate_right(direction)

        loc_i += direction[0]        
        loc_j += direction[1]

    return unique_pos_count ",author_11,2024,6,
"def add_or_multiply(current_sum: int, operand: str, value_searched: int, number_array: List[int], level: int = 1):
    global value_found
    if current_sum == value_searched and level == len(number_array):
        value_found = True
        return
    
    if value_found or len(number_array) <= level: return
    
    new_level = level + 1
    current_number = number_array[level]
    if operand == ADD:
        new_sum = current_sum + current_number
        add_or_multiply(new_sum, ADD, value_searched, number_array, new_level)
        add_or_multiply(new_sum, MULTI, value_searched, number_array, new_level)
    elif operand == MULTI:
        new_sum = current_sum * current_number
        add_or_multiply(new_sum, ADD, value_searched, number_array, new_level)
        add_or_multiply(new_sum, MULTI, value_searched, number_array, new_level)",author_11,2024,7,
" bound_i = len(grid)
    bound_j = len(grid[0])
    anti_node_set = set()
    for locations in antenna_map.values():
        for i in range(0, len(locations)-1):
            for j in range(i+1, len(locations)):
                anti_node_pair = get_antinode_pair(locations[i], locations[j])
                for node_i, node_j in anti_node_pair:
                    if 0 <= node_i < bound_i and 0 <= node_j < bound_j:
                        anti_node_set.add((node_i, node_j))
    
    return len(anti_node_set)
             
if __name__ == ""__main__"":
    input_data = load_input(8, InputType.MAIN)
    result = time_solution(solve, input_data)
    print(f""Result: {result}"")",author_11,2024,8,
"def read_disk(input_data:str) -> Tuple[deque[str], deque[str], deque[int]]:
    free_space_groups = deque()
    file_blocks = deque()
    file_groups = deque()

    file_id = 0
    space_index = 0
    is_file = True
    for char in input_data:
        block_size = int(char)
        if is_file:
            file_block = block_size * [str(file_id)]
            file_blocks.extend(file_block)
            file_groups.append(file_block)
            file_id += 1
        else:
            free_space_groups.append(range(space_index, space_index + block_size))

        is_file = not is_file
        space_index += block_size
    
    return (file_blocks, file_groups, free_space_groups)",author_11,2024,9,
"def solve(input_data: str) -> str:
    grid = list(map(lambda list: [int(digit) for digit in list], input_data.splitlines()))

    trails = 0
    for i in range(len(grid)):
        for j in range(len(grid[i])):
            if grid[i][j] == 0:
                reached_set = set()
                trails += trail_walk(grid, i, j, 0, reached_set)

    return trails",author_11,2024,10,
"import re

dat = [
	(15244,   50562),
	(81245,   49036),
	# ...
]

a = [i[0] for i in dat]
b = [i[1] for i in dat]
a.sort()
b.sort()
n = sum(abs(i-j) for i,j in zip(a,b))
print(n)

from collections import Counter
b = Counter(b)
n = sum(b.get(i, 0)*i for i in a)
print(n)",author_12,2024,1,mrphilip
"dat = [
	(1,3,5,6,8,9,12,9),
	(66,67,70,72,73,74,75,75),
	(18,20,22,25,28,31,35),
	# ...
]

def safe(s):
	s = list(s)
	s_ = list(sorted(s))
	if s == s_ or s == s_[::-1]:
		if all(i != j and j-3 <= i <= j+3 for i,j in zip(s,s[1:])):
			return True
	return False
print(sum(1 for i in dat if safe(i)))",author_12,2024,2,
"dat = """"""what()who(){from(),'mul(28,510)?<,>where()why()mul(...etc...""""""

n = 0
for a, b in re.findall(r""mul\((\d+),(\d+)\)"", dat):
	n += int(a) * int(b)
print(n)

n = 0
enabled = True
for a, b, c in re.findall(r""mul\((\d+),(\d+)\)|(do(?:n't)?)\(\)"", dat):
	if c == ""do"":
		enabled = True
	elif c == ""don't"":
		enabled = False
	elif enabled:
		n += int(a) * int(b)
print(n)",author_12,2024,3,
"def unroll(board):
	rows = ["""".join(row) for row in board]
	cols = ["""".join(col) for col in zip(*board)]
	diags = ["""".join(board[j][j-i] for j in range(max(0,i), SIZE+min(0, i))) for i in range(-SIZE+1,SIZE)]
	rev_diags = ["""".join(board[SIZE-j-1][j-i] for j in range(max(0,i), SIZE+min(0, i))) for i in range(-SIZE+1,SIZE)]
	return ""-"".join(rows + cols + diags + rev_diags)

a = unroll(dat)
print(a.count(""XMAS"") + a.count(""SAMX""))


n = 0
for y in range(1,SIZE-1):
	for x in range(1,SIZE-1):
		if dat[y][x] != ""A"":
			continue
		if {dat[y-1][x-1], dat[y+1][x+1]} != {""M"", ""S""}:
			continue
		if {dat[y-1][x+1], dat[y+1][x-1]} != {""M"", ""S""}:
			continue
		n += 1
print(n)",author_12,2024,4,
"from functools import cmp_to_key
def cmp(a, b):
	if (a,b) in pairs:
		return 1
	elif (b,a) in pairs:
		return -1
	else:
		1/0
key = cmp_to_key(cmp)
n = 0
for row in dat2:
	if all((row[j], row[i]) not in pairs for i in range(len(row)-1) for j in range(i+1,len(row))):
		continue
	row = list(row)
	row.sort(key=key)
	n += row[len(row)//2]
print(n)",author_12,2024,5,
"def go():
	dx, dy = 0, -1
	px, py = sx, sy
	seen = {(px, py)}
	seen_dir = set()
	while True:
		if not (0 <= px+dx < CX and 0 <= py+dy < CY):
			return len(seen)
		if (px, py, dx, dy) in seen_dir:
			return None
		seen_dir.add((px, py, dx, dy))
		if dat[py+dy][px+dx]:
			dx, dy = -dy, dx
		else:
			px += dx
			py += dy
			seen.add((px, py))

print(go())",author_12,2024,6,
"def solvable(vals, res, ops=""+*""):
	for i in itertools.product(ops, repeat=len(vals)-1):
		if calc(vals, i) == res:
			return True
	return False",author_12,2024,7,
"for grp in grouped.values():
	for i in range(len(grp)-1):
		for j in range(i+1,len(grp)):
			x1,y1 = grp[i]
			x2,y2 = grp[j]
			xa = x1 - (x2 - x1)
			ya = y1 - (y2 - y1)
			xb = x2 - (x1 - x2)
			yb = y2 - (y1 - y2)
			if 0 <= xa < CX and 0 <= ya < CY:
				antis.add((xa, ya))
			if 0 <= xb < CX and 0 <= yb < CY:
				antis.add((xb, yb))",author_12,2024,8,
"disk = []
i = 0
toggle = True
for c in dat:
	if toggle:
		disk.extend([i] * int(c))
		i += 1
	else:
		disk.extend([None] * int(c))
	toggle = not toggle",author_12,2024,9,
"def eval(x,y):
	seen = set()
	todo = [(x,y)]
	n = 0
	while todo:
		x,y = todo.pop()
		if (x,y) in seen:
			continue
		seen.add((x,y))
		c = dat[y][x]
		if c == 9:
			n += 1
			continue
		for nx,ny in [(x-1,y),(x+1,y),(x,y-1),(x,y+1)]:
			if 0 <= nx < CX and 0 <= ny < CY and dat[ny][nx] == c + 1:
				todo.append((nx, ny))
	return n

n = 0
for y, row in enumerate(dat):
	for x, c in enumerate(row):
		if c == 0:
			n += eval(x,y)
print(n)",author_12,2024,10,
"if(__name__ == ""__main__""):
    dat = get_data(day=1, year=2024)
    
    l,r = [],[]
    for ln in dat.splitlines():
        a,b = map(int,ln.split())
        l.append(a)
        r.append(b)
    
    dist = sum(abs(x-y) for x,y in zip(sorted(l),sorted(r)))
    print(f""Part 1 - The total distance between the lists is: {dist}"")
    submit(dist, part=""a"", day=1, year=2024)",author_13,2024,1,Bikatr7
"def is_saf(lvl):
    for i in range(len(lvl)-1):
        if(lvl[i] == lvl[i+1]):
            return False
    
    dif = [lvl[i+1]-lvl[i] for i in range(len(lvl)-1)]
    inc = all(d > 0 for d in dif)
    dec = all(d < 0 for d in dif)
    
    if(not (inc or dec)):
        return False
    
    return all(1 <= abs(d) <= 3 for d in dif)",author_13,2024,2,
"def find_enabld(dat):
    mp = r""mul\((\d{1,3}),(\d{1,3})\)""
    dp = r""do\(\)""
    dnp = r""don't\(\)""
    
    t = 0
    en = True
    
    for l in dat.splitlines():
        p = 0
        while(p < len(l)):
            mm = re.match(mp, l[p:])
            dm = re.match(dp, l[p:])
            dnm = re.match(dnp, l[p:])
            
            if(mm):
                if(en):
                    n1,n2 = map(int,mm.groups())
                    t += n1*n2
                p += mm.end()
            elif(dm):
                en = True
                p += dm.end()
            elif(dnm):
                en = False
                p += dnm.end()
            else:
                p += 1
    
    return t",author_13,2024,3,
"def slv(grd):
    r=len(grd)
    c=len(grd[0])
    ans=0
    
    for i in range(r):
        for j in range(c-3):
            if(grd[i][j:j+4]==""XMAS""):
                ans+=1
            if(grd[i][j:j+4]==""SAMX""):
                ans+=1
    
    for i in range(r-3):
        for j in range(c):
            forward = grd[i][j]+grd[i+1][j]+grd[i+2][j]+grd[i+3][j]
            backward = grd[i+3][j]+grd[i+2][j]+grd[i+1][j]+grd[i][j]
            if(forward == ""XMAS""):
                ans+=1
            if(backward == ""XMAS""):
                ans+=1",author_13,2024,4,
"def prs(d):
    r,s=d.split(""\n\n"")
    
    rl=defaultdict(set)
    for x in r.split(""\n""):
        if(not x): continue
        b,a=map(int,x.split(""|""))
        rl[b].add(a)
    
    sq=[]
    for x in s.split(""\n""):
        if(not x): continue
        sq.append([int(y) for y in x.split("","")])
    
    return rl,sq",author_13,2024,5,
"def prs(d):
    g=[]
    s=None
    for i,l in enumerate(d.split(""\n"")):
        r=list(l)
        if(""^"" in l):
            s=(i,l.index(""^""))
        g.append(r)
    return g,s

def nxt(d):
    dr=[(0,1),(1,0),(0,-1),(-1,0)]
    return dr[(dr.index(d)+1)%4]",author_13,2024,6,
"def chk(t,n,c=False):
    if(len(n)==1):
        return n[0]==t
    
    l=len(n)-1
    mx=max(n)
    mn=min(n)
    
    if(t<mn or (t>mx*mx and l==1)):
        return False
        
    if(c):
        ts=str(t)
        td=sum(len(str(x)) for x in n)
        if(len(ts)>td):
            return False
    
    o=[0]*l
    m=2 if c else 1
    while(True):
        try:
            if(evl(n,o)==t):
                return True
        except:
            pass
            
        i=0
        while(i<l and o[i]==m):
            o[i]=0
            i+=1
        if(i==l):
            break
        o[i]+=1
    
    return False",author_13,2024,7,
"def slv1(d):
    a,h,w=prs(d)
    n=set()
    
    for f in a:
        p=a[f]
        if(len(p)<2):
            continue
        for i in range(len(p)):
            for j in range(i+1,len(p)):
                x1,y1=p[i]
                x2,y2=p[j]
                
                if(x1==x2):
                    dy=y2-y1
                    n1=(x1,y1-dy)
                    n2=(x1,y2+dy)
                    if(0<=n1[1]<h):n.add(n1)
                    if(0<=n2[1]<h):n.add(n2)
                elif(y1==y2):
                    dx=x2-x1
                    n1=(x1-dx,y1)
                    n2=(x2+dx,y1)
                    if(0<=n1[0]<w):n.add(n1)
                    if(0<=n2[0]<w):n.add(n2)
                else:
                    dx=x2-x1
                    dy=y2-y1
                    n1=(x1-dx,y1-dy)
                    n2=(x2+dx,y2+dy)
                    if(0<=n1[0]<w and 0<=n1[1]<h):n.add(n1)
                    if(0<=n2[0]<w and 0<=n2[1]<h):n.add(n2)
    return len(n)",author_13,2024,8,
"def cmp1(f,s):
    d=[]
    i=0
    for j in range(len(f)):
        for _ in range(f[j]):
            d.append(i)
        i+=1
        if(j<len(s)):
            for _ in range(s[j]):
                d.append(-1)
    
    p=0
    for i in range(len(d)-1,-1,-1):
        if(d[i]!=-1):
            while(p<i and d[p]!=-1):
                p+=1
            if(p<i and d[p]==-1):
                d[p]=d[i]
                d[i]=-1
                p+=1
    return d",author_13,2024,9,
"def nbr(x,y,h,w):
    d=[(0,1),(1,0),(0,-1),(-1,0)]
    n=[]
    for dx,dy in d:
        nx,ny=x+dx,y+dy
        if(0<=nx<w and 0<=ny<h):
            n.append((nx,ny))
    return n

def fnd(g):
    t=[]
    for y in range(len(g)):
        for x in range(len(g[0])):
            if(g[y][x]==0):
                t.append((x,y))
    return t",author_13,2024,10,
"for line in lines:
    l, r = map(int, line.split())  # Split each line into two numbers
    left.append(l)                # Add to left list
    right.append(r)               # Add to right list

# Sort both lists
left.sort()
right.sort()

# Calculate the total distance
total_distance = sum(abs(l - r) for l, r in zip(left, right))

# Print the result
print(""Total distance:"", total_distance)",author_14,2024,1,arhamansari11
"def is_safe_report(report):
    differences = [report[i + 1] - report[i] for i in range(len(report) - 1)]
    
    # Check if differences are all positive (increasing) or all negative (decreasing)
    is_increasing = all(d > 0 for d in differences)
    is_decreasing = all(d < 0 for d in differences)
    
    # Check if all differences are between 1 and 3 (inclusive)
    are_differences_valid = all(1 <= abs(d) <= 3 for d in differences)
    
    # A report is safe if it is either increasing or decreasing and the differences are valid
    return (is_increasing or is_decreasing) and are_differences_valid

# Read the input file
with open(""e:/Advent of Code/Day-02/input1.txt"", ""r"") as file:
    lines = file.read().strip().split(""\n"")",author_14,2024,2,
"def sum_valid_multiplications(file_path):
    # Read the input file
    with open(file_path, ""r"") as f:
        data = f.read()
    
    # Regex to match valid mul instructions (e.g., mul(123,456))
    valid_mul_pattern = r""mul\(\d{1,3},\d{1,3}\)""
    
    # Find all matches in the input
    matches = re.findall(valid_mul_pattern, data)
    
    total_sum = 0
    for match in matches:
        # Extract numbers from the valid mul instruction
        numbers = list(map(int, re.findall(r""\d+"", match)))
        # Multiply and add to total sum
        total_sum += numbers[0] * numbers[1]
    
    return total_sum",author_14,2024,3,
